slug,title,published,changed,rewritten,action,reason,removedBodyImages
"draft-post-example","다음 시즌 예고 (작성 중)","false","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"hello-magma-contents","MAGMA를 시작하며 — 오래 입을 기본에 대하여","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-after-work-appointment-outfit-guide","3040 남성을 위한 가을 출근 후 약속 옷차림: 재킷을 벗고도 균형 잡는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","2"
"mens-after-workout-outfit-guide","3040 남성을 위한 출근 후 운동 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-airport-security-outfit-guide","3040 남성을 위한 공항 보안검색 옷차림: 신발·주머니·레이어를 점검하는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-all-day-standing-shoe-guide","하루 종일 서 있는 날, 3040 남성이 신발을 고르는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-anniversary-dinner-outfit-guide","3040 남성을 위한 기념일 레스토랑 저녁 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-barbershop-outfit-guide","가을 바버숍 방문을 위한 3040 남성 옷차림: 앉고 벗고 다시 입기 편한 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-cafe-work-outfit-guide","3040 남성 가을 카페 작업 옷차림: 오래 앉아도 흐트러지지 않는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-camera-walk-outfit-guide","가을 클래식 카메라 산책을 위한 3040 남성 옷차림: 오래 걷고 가볍게 촬영하는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-cardigan-layering-guide","3040 남성을 위한 가을 카디건 레이어링: 셔츠·티셔츠·재킷 사이 균형을 잡는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-knit-polo-selection-guide","3040 남성을 위한 가을 니트 폴로 셔츠 선택: 칼라·두께·레이어링을 가르는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-library-reading-outfit-guide","가을 도서관 독서 모임을 위한 3040 남성 옷차림: 조용한 공간과 오래 앉는 시간을 고려하는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-minimal-office-set-up-guide","가을 남성 출근 셋업: 세 가지 조합 비교와 재킷·팬츠 핏 점검","true","true","true","유지(범위 조정 재작성)","자료 기반 관찰표와 가상 예시로 재작성; 실제 제품 경험은 미확보","5"
"mens-autumn-office-knit-vest-guide","3040 남성을 위한 가을 오피스 니트 베스트 선택: 셔츠·재킷 사이 균형을 잡는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-road-trip-outfit-guide","3040 남성을 위한 가을 주말 드라이브 옷차림: 운전·휴식·도착을 나누는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-autumn-sea-fishing-outfit-guide","3040 남성을 위한 가을 바다낚시 옷차림: 바람·물기·이동을 고려한 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-small-concert-outfit-guide","3040 남성을 위한 가을 저녁 소규모 공연 옷차림: 관람·이동·귀가를 나누는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-autumn-terrace-evening-outfit-guide","3040 남성 가을 테라스 저녁 모임 옷차림: 기온 차와 분위기를 함께 고려하는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-autumn-wedding-guest-guide","3040 남성을 위한 가을 결혼식 하객 복장 가이드","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-belt-selection-guide","3040 남성을 위한 벨트 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-bike-commute-outfit-guide","3040 남성을 위한 자전거 출퇴근 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-black-tie-invitation-guide","3040 남성을 위한 블랙타이 초대 복장: 턱시도 한 벌을 점검하는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","2"
"mens-blazer-separates-styling-guide","3040 남성을 위한 블레이저를 셋업 밖에서 활용하는 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-boot-selection-styling-guide","3040 남성을 위한 부츠 선택·코디 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-business-casual-guide","3040 남성 비즈니스 캐주얼 가이드","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-business-conference-outfit-guide","3040 남성 컨퍼런스 참석 복장: 이동·세션·네트워킹을 나누는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-business-trip-packing-guide","3040 남성을 위한 출장 옷차림 짐 싸기 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-career-interview-outfit-guide","3040 남성을 위한 이직 면접 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-chino-styling-guide","3040 남성을 위한 치노 팬츠를 출근과 주말에 단정하게 입는 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-chuseok-hometown-visit-outfit-guide","3040 남성을 위한 추석 고향 방문 옷차림: 이동·차례·가족 모임을 고려한 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-client-meeting-outfit-guide","3040 남성을 위한 외부 고객 미팅 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-clothes-brush-selection-care-guide","3040 남성을 위한 옷솔 선택과 의류 브러싱 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-clothing-alteration-guide","3040 남성을 위한 옷 수선 우선순위 판단 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-clothing-color-fade-care-guide","3040 남성을 위한 옷의 색 빠짐을 줄이는 관리 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-coat-fabric-selection-guide","3040 남성을 위한 코트 원단 선택: 울·혼방·촉감과 출근 활용을 가르는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-coat-length-fit-guide","3040 남성을 위한 코트 기장·실루엣 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-commute-umbrella-selection-guide","3040 남성을 위한 출근용 우산 선택과 옷차림 연결 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-company-workshop-outfit-guide","3040 남성을 위한 사내 워크숍 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-corduroy-trouser-styling-guide","3040 남성을 위한 코듀로이 팬츠 코디: 질감·색·실루엣을 조절하는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-denim-shirt-commute-guide","3040 남성을 위한 초가을 데님 셔츠 출근 코디: 5가지 판단 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-denim-trouser-first-wash-guide","3040 남성 데님 팬츠 첫 세탁 전 확인할 5가지 기준","true","false","false","통합 검토","제목 2-gram Jaccard 유사도 ≥ 0.5. 중복 확정 아님; 본문·검색 의도·유입 확인 뒤 결정","0"
"mens-derby-oxford-shoe-guide","3040 남성을 위한 더비·옥스퍼드 구두 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-dog-walk-outfit-guide","3040 남성을 위한 늦여름 반려견 산책 옷차림: 시간대별 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-dress-shoe-fit-check-guide","3040 남성을 위한 구두 발등·뒤꿈치 핏 점검 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-dress-shoe-sole-selection-guide","3040 남성을 위한 구두 밑창 소재·구조 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-dry-cleaning-checklist-guide","3040 남성을 위한 세탁소 의뢰 전후 의류 점검 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-early-autumn-office-transition-guide","3040 남성을 위한 이른 가을 출근 옷차림 전환: 아침·사무실·이동·귀가까지 5가지 판단 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-early-autumn-sock-weight-guide","3040 남성을 위한 초가을 출근 양말 두께 선택 기준 5가지","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-evening-walk-layering-guide","3040 남성을 위한 선선한 저녁 산책 옷차림: 셔츠와 가디건을 고르는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-exhibition-opening-outfit-guide","3040 남성을 위한 전시 오프닝 초대 복장 가이드","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-eyewear-outfit-guide","3040 남성을 위한 안경 프레임과 옷차림 조화 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-fabric-texture-pairing-guide","3040 남성을 위한 상·하의 소재 질감 조합 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-family-camping-outfit-guide","3040 남성을 위한 가족 캠핑 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-family-gathering-outfit-guide","3040 남성을 위한 주말 가족 모임 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-birthday-party-dad-outfit-guide","3040 아빠를 위한 돌잔치 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-golf-round-outfit-guide","3040 남성을 위한 첫 골프 라운드 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-hiking-outfit-guide","3040 남성을 위한 첫 등산 옷차림 가이드","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-first-manager-wardrobe-guide","3040 남성을 위한 첫 관리자 승진 후 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-pilates-class-outfit-guide","3040 남성 첫 필라테스 수업 옷차림: 움직임과 출근 후 전환을 고려한 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-residents-meeting-outfit-guide","3040 남성 첫 입주자 모임 옷차림: 단정함과 편안함을 함께 고르는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-running-crew-outfit-guide","3040 남성 첫 러닝크루 참여 전 옷차림: 집결·러닝·귀가를 나누는 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-tailoring-consultation-guide","3040 남성을 위한 첫 맞춤정장 상담 전 준비: 목적·예산·핏을 정리하는 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-first-tennis-lesson-outfit-guide","3040 남성을 위한 첫 테니스 레슨 옷차림: 코트와 귀가까지 5가지 기준","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
"mens-fitting-room-checklist-guide","3040 남성을 위한 매장 시착 점검 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-flannel-shirt-selection-guide","3040 남성을 위한 플란넬 셔츠 선택: 두께·무늬·출근 경계 5가지 기준","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-formal-family-meeting-outfit-guide","3040 남성을 위한 상견례 옷차림 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-funeral-attire-guide","3040 남성을 위한 조문 옷차림 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-care-label-guide","3040 남성을 위한 의류 세탁 라벨 읽는 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-finish-quality-guide","3040 남성을 위한 옷 구매 전 봉제·마감 품질 확인 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-hanger-selection-guide","3040 남성을 위한 재킷·셔츠·팬츠 옷걸이 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-lining-selection-guide","3040 남성을 위한 재킷·팬츠 안감 선택 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-odor-care-guide","3040 남성을 위한 옷에 밴 냄새를 줄이는 착용 후 관리 기준 5가지","true","false","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","0"
"mens-garment-repair-replace-guide","3040 남성을 위한 낡은 옷 수선·교체 판단 기준 5가지","true","true","false","보강 검토","기계 점검만 완료; 독창성·실제 사례·제목의 질문 충족 여부는 편집 검토 필요","1"
